id,date,timestamp,title,decision,rationale,affects_issues
G-001,2026-07-04,2026-07-04 12:00:00,Flat directory structure,Keep all project files in the repository root directory with minimal exceptions (.github/ and skill-*/),Flat structures reduce navigation overhead and simplify path management in small projects,CODE_CONVENTIONS.md;DESIGN_GUIDELINES.md
G-002,2026-07-04,2026-07-04 12:00:00,Cross-repo links,Use absolute GitHub URLs for cross-repository links,Relative paths do not resolve correctly across different GitHub repositories,CODE_CONVENTIONS.md
G-003,2026-07-04,2026-07-04 12:00:00,Conventional Commits,Enforce Conventional Commits specification for git history,Standardized history enables automatic changelog generation and easier history analysis,CODE_CONVENTIONS.md
G-004,2026-07-04,2026-07-04 12:00:00,Local design and standards files,Every repository maintains its own local DESIGN_GUIDELINES.md and STANDARDS.md if required by its technologies and use cases. These files must only cover repository-specific matters and must not contain global guidelines or details from other repositories.,Repositories use different tech stacks and have different design constraints (e.g. backend microservices vs frontend web apps) so local guidelines ensure relevance and prevent document drift.,DESIGN_GUIDELINES.md;STANDARDS.md
G-005,2026-07-04,2026-07-04 12:00:00,Human-readable CSV,DECISION_LOG.csv must be saved as plain human-readable UTF-8 CSV,Encoding files in base64 or other binary formats prevents code review in diffs and corrupts git logs,DECISION_LOG.csv
G-006,2026-07-04,2026-07-04 12:00:00,Uniqueness and single-publishing of functionalities,Every use case and user story functionality must be unique without duplication and published in only one place,Avoids redundant implementations and maintains a single source of truth across repositories,DESIGN_GUIDELINES.md
G-007,2026-07-04,2026-07-04 12:00:00,Hajautettu päätösloki,Päätöslokia ylläpidetään jokaisessa varastossa itsenäisesti. Kanoniset globaalit päätökset sovitaan yhdessä organisaatiotasolla ja kirjataan kaikkiin varastoihin.,Hajautettu lokitus antaa varastoille itsenäisyyden ja estää toisten varastojen paikallisten päätösten tulvimisen muihin,DECISION_LOG.csv
L-001,2026-07-05,2026-07-05 12:00:00,Ignore Ruff S608 (SQL injection on f-strings),Ignore Ruff S608 globally in pyproject.toml,BigQuery client does not support dynamic dataset/table name parameters so we must use f-strings; dataset name comes from env variables making it safe,pyproject.toml;CODE_CONVENTIONS.md
L-002,2026-07-05,2026-07-05 12:00:00,Ignore Ruff S105 (Hardcoded password checks),Ignore Ruff S105 globally in pyproject.toml,"Ruff flags ""token == 'mock-test'"" check as a password; this is a harmless mock token comparison used only in development",pyproject.toml;CODE_CONVENTIONS.md
L-003,2026-07-05,2026-07-05 12:00:00,Ignore Ruff B008 (Function call in default arguments),Ignore Ruff B008 globally in pyproject.toml,This is the official recommended pattern in FastAPI for Query; Path and Depends parameters; ignoring prevents code clutter,pyproject.toml;CODE_CONVENTIONS.md
L-004,2026-07-05,2026-07-05 12:00:00,Ignore Ruff S110 (try-except-pass block),Ignore Ruff S110 globally in pyproject.toml,Silently passing exceptions when parsing optional HTML/meta-tags is intentional to avoid log noise,pyproject.toml;CODE_CONVENTIONS.md
L-005,2026-07-05,2026-07-05 12:00:00,Ignore Ruff B904 (Exception chaining),Ignore Ruff B904 globally in pyproject.toml,HTTPException relaying in API handlers is logged explicitly; chaining internal tracebacks to the client or console is unnecessary,pyproject.toml;CODE_CONVENTIONS.md
L-006,2026-07-05,2026-07-05 12:00:00,Ignore Ruff E501 (Line too long),Ignore Ruff E501 globally in pyproject.toml,Long JSON strings in test files and long BigQuery SQL blocks are kept on single lines to preserve readability,pyproject.toml;CODE_CONVENTIONS.md
